pn,qty,description
IDLW8_M1120,0,BOLT AXIS
IDLW8_M1125,0,PC SUPPORT PIECE
IDLW8_M1126,0,PC SUPPORT PIECE
IDlw8a9543,0,SUPPORT FOR ROLLER
IDLW8AD1A09000,2,ADAPTER NON CE PWR SPLY TO CE
IDLW8AD2A09000,33,ADAPTER CE PWR SUPPLY
IDLW8H9010,10,CAMERA POWER SUPPLY BOARD
IDLW8K01,4,KIT OF LINEAR BALL BEARING
IDLW8K02,15,KIT OF BALL BEARINGS
IDLW8K03,2,KIT OF SCREWS
IDLW8K05,2,MIRRO UPGRADE KIT
IDLW8K07,2,ALIGNER GEAR WHEEL KIT
IDLW8K08,0,OLD U/D TRANSMISSION AXIS
IDLW8K102,2,BSS KIT FOR CE IDLW>SER#44
IDLW8K103,0,BSS KIT FOR NON CE IDLW8
IDLW8K104,0,BSS KIT CE IDLW8>544 NO BOOST
IDLW8K105,0,BSS KIT NON CE IDLW8 BOOSTED
IDLW8K106,0,BSS KIT FOR NON-CE TOOLS
IDLW8K12,3,MIRROR CAMERA TRANS FLAT CABLE
IDLW8K13,0,AMPRO MTHRBRD + WIN 3.1 HD
IDLW8K16,0,ADVANTEC MB AND 3.1 HD
IDLW8K17,3,ROTATION CABLE
IDLW8K19,0,PC POWER SUPPLY ADAPTOR
IDLW8K19-A,0,PC POWER SUPPLY ADAPTOR
IDLW8M,0,INDENTIFICATION LOT WAFER 8
IDLW8M_M0607,0,IDLW8M MIRROR SUPPORT
IDLW8M_M0608,5,MIRROR
IDLW8MR_A9005,2,TRANSMISSION ASSY MIRROR IDLW
IDLW8MS1_A9015,2,LIGHTING UNIT FOR MIRROR IDLW
IDLW8MS1_A9507,0,INDUSTRIAL PC
IDLW8MS1_M0008,0,CRYSTALPACK UPGRADE KIT
IDLW8MS1_M0092,0,Status light support
IDLW8MS4_A9019,0,MIRROR ASSY
IDLW8PCK01,0,AMPRO CABLE KIT
IDLW8PCK02,0,ADVANTECH W/VISION CBL KIT
IDLW8PCK03,0,ADVANTECH FRAMELOCKER CBL KIT
IDLW8S1_A9019,1,MIRROR ASSY
IDLW8SI_A9019,0,MIRROR ASSY
IDLW8SI_M0109,0,MIRROR STRAP
IDLW8SU_M0064,0,ROTATING ROD
IDLW8TW_A9013,0,MAPPING UNIT FOR MIRROR TOOL
IDLW8TW_A9015,0,MIRROR U/D MOTOR+LIGHTING UNIT
IDLW8TW_M0109,0,MIRROR
IDLW8TW_M0110,0,MIRROR
IDLW8TW_M0610,0,LED COVER
IDLW8TW_M0612,0,LED COVER
IDLW8TW_M0614,0,LED COVER
IDLWA05A09013,0,BSS MAPPING MODULE
IDLWA06A09106,0,BSS CAMERA MODULE
IDLWM08M00098,0,SUPPORT FOR FIXED COMB
IDLWMS1_A9507,0,INDUSTRIAL PC
IDW8MR_A9005,0,IDW8MR_A9005
IDW8MS1_A9011,0,CAMERA UNIT
IDW8MS1_M0092,0,CAMERA WINDOW
IDWA05A09013,8,BSS MAPPING MODULE
IDWA06A00209,8,IR CAMERA FILTER/COVER
IDWA06A09012,4,IR LIGHTING UNIT
IDWA06A09106,0,BSS CAMERA MODULE
IDWA17A09007,2,PC IDLW DUAL CAMERA (SEH)
IDWA17A09008,0,PC IDLW DUAL CAMERA (SEH)
IDWA18A09007,10,"PC"""""""""""""""""""""
IDWM08M00014,0,SUPPORT FOR ROLLER
IDWM8M00014,0,SUPPORT FOR ROLLER
IDWM8M0098,3,OCR 26 WAFERUPGRADE
IDWS07M00108,0,CHARIOT MIROIR
IDWS11A09019,0,MIRROR
INTAH00235,2,CPU Jumper Board
INTAH0086,4,SAFETY OPTICAL BARRIER BOARD
INTAH0097,10,CARTE GEST 2 SIG NAUX
INTAH0135,0,ALIGNER MANAGEMENT BOARD
INTAH0137,0,FO RACKET CAN INT BOARD
INTAH0138,0,FO RACKET INT BOARD
INTAH0139,2,FO RACKET F/B BOARD
INTAH0148,0,FFU DISTRIB BOARD
INTAH0149,0,FFU SIGNAL DISTRIB BOARD
INTAH0183,0,RESTING PLANE INTERFACE SENSOR
INTAH0222,1,INTERFACE BOARD
INTAH0225,3,CARTE INTERFACE AXE Z
INTAH0235,2,TWO MOTHER BOARD LINK BOARD
INTAH0251,2,STATUS LIGHT TOWER INT. BOARD
INTAH0266,16,INPUT/OUTPUT INT. BOARD
INTAH0294,0,MAPPING INTERFACE BOARD
INTAH0315,1,ALIGNER MANAGEMENT BOARD
INTAH0336,1,SENSOR ENCODER INT BOARD
INTAH0366,2,BUFFER BOARD
INTAH0381,11,MAPPING INTERFACE BOARD
INTAH0419,0,Wafer Mapping Interface Board
INTAH0426,0,ROTATION INTERFACE BOARD
INTAH0489,1,CARTE INTERFACE Y/Z
INTAH0490,1,CARTE INTERFACE AXE
INTAH0494,0,POWER SUPLLY TAG READER BOARD
INTAH0510,1,MONO ARM CLAMP INTERFACE BOARD
INTAH0511,1,UPS ADAPTOR BOARD
INTAH0530,1,INTERFACE BOARD
INTAH0540,11,FOHA SECURITY BEAM INT. BOARD
INTAH0545,0,INTERFACE SENSOR BOARD
INTAH0562,2,Y/Z AXE'S INTERFACE BOARD
INTAH0563,1,Y AXE'S INTERFACE BOARD
INTAH0564,0,Z AXE'S INTERFACE BOARD
INTAH0565,1,LIGHTING MANAGEMENT BOARD
INTAH0578,0,USB ADAPTOR
INTAH0599,0,Carrier Load Table Interface B
INTAH0619,0,CONVERTER 12V/24V BOARD
INTAH0626,0,ALIGNER MANAGEMENT BOARD
INTAH0631,2,MAPPING INTERFACE BOARD
INTAH0632,1,INTERFACE BOARD PC G3+
INTAH0673,2,Hermes board
INTAH0675,0,Multi I/O USB board
INTAH0678,0,ECUA0044/45 PC INTERFACE BOARD
INTAH0679,1,LPS Interface Board
INTAH0680,1,Robot I/O board
INTAH0685,1,DSPAC2-Recif Board
INTAH0686,1,Canopy Interface board
INTAH0688,2,USB HUB
INTAH078,0,CARTE INTERFACE CONNECTIQUE
INTAH9090,4,BAR CODE GUN/SHUNT BOARD
INTAHO510,0,CLAMP INTERFACE BOARD
INTBH0210,0,I/O DERIVATION BOARD
INTBH0460,0,OPTICAL BARRIER/SENSOR INT.BRD
INTBH0662,1,Racket Interface board
INTBH0682,0,End effector board
INTBH0698,0,CANOPY INTERFACE BOARD
INTBH0699,0,DOOR INTERFACE BOARD
INTCH0189,10,CARTE BUFFER SIGNAUX PHOTO
INTCH0447,2,TRANSFER MOTION BRD
INTR01069,0,ROS SWITCH LOCKING TAB BUTTON
INTR12096,0,CONNECTOR BLOCK
INTR12097,0,PUSH BUTTON
INTR14382,11,FOHA ROTATION BUTTON
INTR14876,0,TOGGLE SWITCH
INTR14894,0,BLOC DE CONTACT 1N/O E10 K-M
INTR14899,0,INTR.RQM16 JAUN.18X18 Q18D-GE
INTR14966,0,LAMP LED BA95
INTR14977,1,Door interlock sensor
INTR15005,0,YELLOW LIGHTING UNIT
JOIN15270,1,JOIN 12X01 NITRIL TORIQUE
JOIN15316,16,Z axis Join for brake cover
KIN_2200AP,0,POWER SUPPLY
LPSA00A21100,0,Clamp module
LPSA00A21110,1,Clamp motor
LPSA00A21600,1,Foup Presence sensor
LPSA00A22100,0,BUTEE
LPSA00A33100,1,RACKET Z TRANSMISSION
LPSA00A33120,1,Motor Nema 23 + gearwheel (Z R
LPSA00A33190,1,Electromagnetic brake
LPSA00A33230,1,wirred 1024pts encoder
LPSA00A34150,1,Motor Nema 23 + pulley (Canopy
LPSA00A40300,1,Suction Cups
LPSA00A60000,1,Mapping Antenna
LPSA00M33002,0,Z axis transmission belt
LPSA00M34002,1,Y axis transmission belt
LPSA00M40212,4,RACKET KEY
LPSR00M23008,1,Rotary axis transmission belt
MC12,0,METAL CASSETTE 12
MC6HT,0,6 Metal carrier (up to 400_c)
MOBAH0191,0,FILTER FAN UNIT MOTHER BOARD
MOBAH0417,0,MOTHERBOARD
MOBAH0427,0,MOTHER BOARD
MOBBH0131,0,FOUP OPENER FRAME MOTHER BOARD
MOBBH0158,1,KEYBOARD MOTHERBOARD
MOBBH0191,4,FILTER FAN UNIT MOTHER BOARD
MOBBH0527,1,LOADPORT MOTHER BOARD
MOBCH0131,2,FOUP OPENER RACKET MOTHERBOARD
MOBCH0417,0,MOTHERBOARD SPP200D02
MOBDH0158,1,KEY MOTHERBOPARD
MOBDH0417,0,ROBOT MOTHER BOARD
MOBDH0427,7,MOTHER BOARD
MOBEH0131,0,TRANSFER ASSEMBLY MOTHERBOARD
MOBEH0427,0,MOTHER BOARD
MOBHH0131,0,TRANSFER ASSEMBLY MOTHERBOARD
MOBJH0131,0,FOUP OPENER RACKET MOTHERBOARD
MOBMH0131,0,FO FRAME MOTHER BOARD
MOBNH0131,3,TRANSFER MOTHER BOARD
MOBPH0131,2,MOTHER BOARD
MOLEX-804068,0,AT TYPE PWR SPLY HSG KEY POLY
MOT010935,0,ANMF ROTATION MOTOR
MOT015188,0,Motor LM
MOT015195,4,LINEAR MOTOR DRIVER ELCTRONIC
MOT015196,4,X-AXIS LINEAR TRACK MAGNETS
MOT015197,0,X-AXIS LINEAR TRACK MAGNETS
MOT015238,1,PROTECTION INOX
MOT015240,1,X-AXIS LINEAR TRACK MAGNETS CO
MOT015264,0,LINEAR MOTOR DUAL DRIVER
MOT015286,1,DSCDM333-111B
MOT015298,1,DSCDM344 - Z & Aligner driver
MOT015299,1,DSCDP324
MOT015301,1,Motor Nema 17 (Antenna & Keys)
MOT05220,0,Z MOTOR W/O ASSY PARTS
MOT15264,0,LINEAR MOTOR DUAL DRIVER
MP12_A6006,15,LOWER ROLLER
MPP12_A11001,0,FRONT SIDE STATUS LIGHT
MPP12_A11015,0,SPEAKER ASSEMBLY
MPP12_A6005,0,GALET LIBRE 4.6MM A5.2MM
MPP12_A6010,5,CAMERA LIGHTING UNIT
MPP12_A6020,5,ALIGNER MOTOR
MPP12_A6025,0,ALIGNER MOTOR
MPP12_A6040,0,Mirror
MPP12_A6060,5,OCR/DATA MATRIX CAMERAS
MPP12_A6090,0,A&B SENSOR
MPP12_M1671,0,KEYBOARD SUPPORT PAD
MPP12_M6006,0,GALET INFERIEUR
MPP12_M6011,3,CACHE MOTEUR
MPP12_M6019,2,SUPPORT CAMERA DROIT
MPP12_M6020,2,COVERCLE CAMERA
MPP12_M6022,2,COVERCLE CAMERA
MPP12_M6025,2,SUPPORT CAMERA GAUCHE
MPP12_M6036,3,EXCENTRIQUE
MPP12_M6038,4,AXE EXCENTRIQUE
MPP12_M6057,0,ENTRETOISE
MPP12_M6058,0,ENTRETOISE
MPP12_M6096,4,CAPOT
MPP12_M6102,4,CAPOT
MPP12_M6105,4,CAPOT
MPP12_M6106,0,ENTRETOISE
MPP12_M6118,0,MIRROR (BIG)
MPP12_M6118K,0,SENSOR MIRROR KIT
MPP12_M6118K10,0,"MIRROR, A&B SENSOR, KIT"
MPP12_M6119,78,MIRROR (SMALL)
MPP12_M6121,0,LED INFRA SEP8705
MPP12SI_A6040,3,MIRROR FOR SPPA04A60000
MQDC,0,QUICK DISCONNECT - MALE PART
MTM6_A9500,0,MOTOR
MTM6_M0003,0,MOVEMENT AXIS
MTM6_M0099,0,MOTOR
MTMAH1100,0,MTM CPU
NFE200,1,200MM NOTCH FINDER ELEVATOR
NFE8_A0450,0,MOTOR UP/DOWN
NFE8_M0422,0,NFE8_M0422
NFE8_M0428,0,RIGHT COMB
NFE8_M0429,0,LEFT COMB
NFEA02_M0426,0,CARTER COUROIE
NFEA02_M0428,0,RIGHT COMB
NFEA02_M0429,0,LEFT COMB
NFEAC023,0,DOWNLOAD CABLE SMALL PRODUCTS
NFO300K001,3,KIT OF FUSES
NFO300K002,1,KIT OF TOOTHED BELTS LP std
NFO300K003,0,ROTARY NFO TOOTHED BELT KIT
NFOA01035000,0,NFO SQUARE
NFOA01A11900,0,MOTHERBOARD
NFOA01A13900,0,VACUUM PUMP KITS
NFOA01A13906,2,VELCRO
NFOA01A13907,2,VELCRO
NFOA01A13930,2,180 cm VACUUM TUBE
NFOA01A13940,2,45 cm VACUUM TUBE
NFOA01A13950,2,30 cm VACUUM TUBE
NFOA01A13960,2,25 cm VACUUM TUBE
NFOA01A17030,0,TAG READER RF ID
NFOA01A18001,0,SCREW CAP
NFOA01A18003,1,BUTTON EMO
NFOA01A21105,0,CLAMP ASSEMBLY
NFOA01A21115,0,CLAMP MOTOR
NFOA01A21206,0,CANOPY SENSOR
NFOA01A22106,0,DOCK/UNDOCK MOTOR (OLD)
NFOA01A22108,1,F/B ENCODER
NFOA01A22109,0,DOCK/UNDOCK MOTOR (NEW)
NFOA01A22300,5,CANOPY F/B COUPLING
NFOA01A23000,0,CANOPY SUPPORT EXTENSION
NFOA01A23006,0,ROTATION TRANS ASSEMBLY
NFOA01A23106,9,CANOPY ROTATION MOTOR
NFOA01A23107,0,CANOPY ROTATION MOTOR
NFOA01A23200,0,CANOPY F/B COUPLING
NFOA01A23300,3,CANOPY ROTATION COUPLING
NFOA01A30000,5,MAPPING ANTENNA
NFOA01A31000,0,"NFO RACKET, G2 STYLE"
NFOA01A31107,2,MOTOR
NFOA01A31115,3,FOUP DOOR LOCK KEY MOTOR
NFOA01A31116,0,KEY MOTOR
NFOA01A31130,0,FOUP DOOR LOCK KEY
NFOA01A31305,10,VACCUM SUCTION CUP G2/G3 NO UP
NFOA01A31315,0,SOLENOIDE G2/G3/G3+
NFOA01A31515,12,MAPPING ANTENNA SOLENOID
NFOA01A33106,2,NFO RACKET MOTOR
NFOA01A33108,1,RACKET ENCODER
NFOA01A40000,0,NFO RACKET KIT UPGRADE
NFOA01A40210,0,LEFT SIDE RACKET KEY
NFOA01A40300,0,VACUUM SUCTION CUP + SOLENOIDE
NFOA01A40400,0,TRACTION BAR
NFOA01A40500,0,KEY MOTORIZATION ASSEMBLY
NFOA01A40510,0,RIGHT SIDE RACKET KEY
NFOA01A40520,1,RACKET KEY MOTOR
NFOA01A41520,0,DOOR KEY MOTOR
NFOA01A60000,0,MAPPING ANTENNA
NFOA01A60200,2,MAPPING ANTENNA SOL ASSEMBLY
NFOA01AO21200,0,LIFT INTERFACE
NFOA01AO35000,0,NFO JIG
NFOA01M13902,4,VACUUM TUBING CONNECTOR
NFOA01M13903,2,VACUUM TUBING CONNECTOR
NFOA01M16004,0,SECURITY FRAME SUPPORT PIECE
NFOA01M18018,0,SUPPORT EN3
NFOA01M18019,0,ECROU SUPPORT EN3
NFOA01M20231,3,NFO Tag Reader covers
NFOA01M21006,1,COVER PRESENCE SENSOR
NFOA01M21063,0,KINEMATIC PINS
NFOA01M21203,45,CANOPY SENSOR FLAG
NFOA01M22003,0,BELT CLAMP SUPPORT
NFOA01M22014,0,CANOPY BELT
NFOA01M22027,16,SUPPORT CAPTEUR
NFOA01M23107,0,END STOP BUTEE
NFOA01M23108,0,BUTEE
NFOA01M30041,0,ANTENNA MODIFICATION
NFOA01M31016,0,NFO RACKET COVER
NFOA01M31022,2,COVER ANTENNA GREY
NFOA01M31109,10,FLAT COUNTERSUNK SCREW
NFOA01M31117,0,WASHER
NFOA01M31123,0,WHEEL
NFOA01M31130,7,FOUP DOOR LOCK KEY
NFOA01M31132,20,SREWS
NFOA01M31144,0,LANGUETTE
NFOA01M33108,1,RACKET BELT
NFOA01O3500,0,FOUP OPENER ADJUSTMENT JIG
NFOB00A21100,0,CLAMP MOTORIZATION ASSEMBLY
NFOB00A21110,0,CLAMP MOTORIZATION
NFOB00A4000,0,RACKET
NFOB00A40000,0,"NFO RACKET, AUTODOOR FOSB"
NFOB00A60000,0,MAPPING ANTENNA
NFOB00M21121,1,CAPOT MOTEUR
NFOB00M21122,1,BONNET
NFOS01M22114,2,CANOPY BELT
NLPA00A21100,0,CARRIER CLAMP TRANSMISSION
NLPA00A21600,0,CARRIER DETECTION SENSOR
NLPA00A60000,0,MAPPING ANTENNA
NLPS00A21900,0,CARRIER DETECTION SENSOR
OPTO01663,0,PHOTO
OPTO15060,10,LED IR SEP8506-003
OPTO15065,15,PHOTODARLINGTON FOR BFS
PARTS-2-RTF,0,MISCELLANEOUS PARTS SOLD - RTF
PC3AC0030,0,LINK CABLE
PC3BC0016,0,STD\H2500A CABLE
PC3CC0002,0,FRONT KEYBOARD CABLE
PC3CC0025,0,REAR SCREEN OUT CABLE
PC3CC0026,0,FRONT SCREEN OUT CABLE
PCM-10586-9584E,0,PCM-9584F/PCM-9584FG WIRING KT
PCM-3621,1,4 SATA PC/104-PLUS MODULE
PCOAH0341,13,FRAME LOCKER IMAGE ACQ BOARD
PCOAH2500,1,PARALLEL/SERIAL PORT BOARD
PCOBH0025,0,EXTENSION PC104 MOTHER BOARD
PCOBH2500,0,PARALLEL/SERIAL PORT BOARD
PCOBH2500B,0,Input/Output Management Board
PCODH2500,0,PC104 BOARD
PCOEH2500,2,LIGHTING CONTROL BOARD
PCOFH2500,4,I/OSERIAL PORT MNAGEMENT BRD
PCOGH2500,0,CARTE GESTION ECLAIRAGE
PCOKH2500,0,LIGHTING INTERFACE BOARD
PLAQ14637,0,"FILTRON, E600, 2'X3'X.125, ACR"
PLOT00327,10,FFU Bushing
PLOT00328,0,SHOCK ABSORBER
PNEM00001,0,SUCTION CUP
PNEU14386,3,FFU Motor
PNEU14388,7,PRESSURE SENSOR
PNEU14396,87,SUCTION PADS
PRF014354,0,FOOT
PRF014376,0,300mm TOOL FOOT
PRF014377,1,LIGHT TOWER COVER
PRF014516,50,Nuts M04 NORCAN
PRF014517,0,Nuts M05 NORCAN
PRF014529,8,BRACKET
PRF014598,2,REAR PANEL LOCK + KEY
PRF014599,0,SUPPORT ECRAN LCD A ROULETTES
PRF014600,0,M16 Ø65 FOOT
PRF014601,2,"LOCK, G5"
PSU-12,0,"PSU -12V, BLUE WIRE, 20AWG, CU"
PSU-5,0,"PSU -5V, WHITE WIRE, 20AWG, CU"
PSU-PLUS-12,0,"PSU +12V, YELLOW WIRE, 20AWG"
PWRAH0110,2,VICOR PWR SPPLY INT BOARD
PWRAH0114,0,VICOR PWR SPPLY INT BOARD
PWRAH0115,0,POWER SUPPLY DITRIBUTION BOARD
PWRAH0117,2,FFU PWR REG. BOARD
PWRAH0168,3,POWER SUPLLY BOARD
PWRAH0209,1,LINEAR MOTOR PWR SPLLY INT BRD
PWRAH0593,1,96V POWER SUPPLY DISTRIBUTION
PWRAH0596,0,POWER BOARD
PWRAH0681,0,power distribution board
PWRBH0542,5,POWER DISTRIBUTION BOARD
PWRBH0681,1,Power distribution board
PWRCH0115,5,FOHA POWER DIST BOARD
QDC_A,1,QUICK DISCONNECT
R9201A2,13,NON CE MOTOR CONTROL BOARD
REL015197,0,MASTER SWITCH
REL015214,0,CONDUCTOR KM1/KM2
REL015215,3,CONTACTOR
REL015226,1,RELAI SECURITE XPS-AC5121 24V
RES000332,0,Ø50 125MM SPRING
RES000336,60,ALIGNER SPRING
RES001259,0,NFO DOOR LOCK KEY
RES001450,0,RES C EXT 033 FIL 018 L0090
RES001628,0,Ø125 300MM SPRING
RES009272,0,SPRING
RES015274,0,SPRING
RES016113,0,Ø50 4000MM SPRING
RES016116,0,SPRING
RES016117,0,BFM SPRING
RES016119,0,BFM SPRING
RES1259,0,"SPRING, NFO DOOR LOCK KEY"
RESAA0450600080,0,SPRING
RI-CTL-MB6A-03,0,TIRIS CONTROL MODULE
RI-RFM-007B-00,0,High-Performance LF Radio Freq
RON001212,0,ROND INOX PLAT Z M04 NFE27611
RON014404,0,WASHER
RON014416,0,M16 STEEL WASHER
RON14417,0,PINS
ROUAE03A06,0,ROULEMENT 3X6
ROUAE04A11,0,ROULEMENT 4X11
ROUAE05A08,0,ROULEMENT 5X8
ROUAE05A11,0,ROULEMENT 5X11
ROUAE07A11,0,ROULEMENT 7X11
ROUAE08A16,0,ROULEMENT 8X16
ROUL00350,0,ROULEMENT 3X6X2.5
ROUL00351,0,MINI ENVIRONMENT DOOR HINGE
ROUL00353,0,"BEARING, RLT 07X11 INOX EP03"
ROUL00354,0,"BEARING, 8X16"
ROUL00355,0,Batch Comb Flip Bearing
ROUL00357,0,Ø20x27 BEARING
ROUL01355,0,Batch Comb Flip Bearing
ROUL01397,0,Z-Axis Bearing
ROUL13657,0,X-Axis Drive Pulley Bearing
ROUL13659,0,ROULEMENT 4X8X3
ROUL13661,0,BEARING
ROUL13662,0,BEARING
ROUL13682,1,BALL BEARING
ROUL13691,0,Ø6x23 COATED BEARING
ROUL13704,0,Batch Comb Flip Bearing
ROUL13705,0,Batch Comb Flip Bearing
ROUL13712,0,BEARINGS
RST010831,100,10KR 1/8W 5% 0805
RST300Fxx,0,temp
RTS300B51,0,G5+ SORTER WITH 5 LP
RTS300B56,0,G5+ 300mm Sorter including
RTS300B57,0,G5+ 300MM SORTER - 4 LOADPORTS
RTS300F08,0,"G5 Sorter, 4 LP"
RTS300F09,0,3 Load Port Wafer Transfer Too
RTS300F11,0,3 Load Ports wafer transfer
RTS300F__,0,3 Load Port Wafer Transfer Too
RTS300T09,0,2LP G5 EQUPMENT + OPTIONS
RTS300T10,0,G5 2 LP Stand Alone Tool
RTS300T11,0,SORTER G5 2LPS STANDARD-ROTARY
RTSA01A15600,1,PC
RTSA01A40210,0,POULIE TENSION
RTSA01A40605,2,Motor Z
RTSA01A40635,0,Z Flat cables assembly
RTSA01A45005,0,Theta Motor Assembly
RTSA01A51106,1,Aligner module
RTSA01A51125,0,"ALIGNER MOTOR, G5"
RTSA01A51156,0,Aligner star
RTSA01A55100,1,Camera module
RTSA01A80100,1,FFU Motor Assembly
RTSA01A80400,0,Absolute filter with poron joi
RTSA01M18108,1,FENETRE
RTSA01M40082,0,CAPOT Z AVANT
RTSA01M40096,1,Z motion belt
RTSA02A45005,1,Theta Motor Assembly
RTSB01A12100,0,UPS 110V
RTSB01A20041,0,RTSB01A20041
RTSF01A20310,0,GUIDE NAPPE XG5STEP1
RTSF01M20308,0,CLAMPS
RTSF01M20309,4,V3 CLAMPS FOR G5
SAVK01,1,THK GREASING KIT
SAVK03,1,1.25 A ANTI-SURGE FUSE KIT
SAVK04,1,1.5 A SLOW BLOW FUSE KIT
SAVK05,4,2 A SLOW BLOW FUSE KIT
SAVK06,0,2A FAST ACTING F. FUSE KIT
SAVK07,1,3.15 A SLOW BLOW FUSE KIT
SAVK08,1,3.15 A ANTI-SURGE FUSE KIT
SAVK09,4,5 A SLOW BLOW FUSE KIT
SAVK10,4,6.3 A ANTI-SURGE FUSE KIT
SAVK101,0,ALIGNMENT SENSOR & MANAGEMENT
SAVK104,0,G5 BACKSIDE CONTACT V2 END EFF
SAVK11,31,6.3 A SLOW BLOW FUSE KIT
SAVK115,0,G5+ WINXP HDD
SAVK117,0,BACK SIDE END EFFECTOR PIN KIT
SAVK12,1,8 A ANTI-SLOW BLOW FUSE KIT
SAVK13,0,4 A SLOW BLOW FUSE KIT
SAVK14,0,0.5A FAST BLOW FUSE KIT
SAVK15,0,1A CSM FUSE KIT
SAVK16,0,A/B SENSOR CALIBRATION KIT
SAVK18,2,TIRIS RECEPTOR MODULE FOR LP1
SAVK19,0,TIRIS RECEPTOR MODULE FOR LP2
SAVK20,0,TIRIS RECEPTOR MODULE FOR LP3
SAVK21,0,TIRIS RECEPTOR MODULE FOR LP4
SAVK22,0,PC HARD DRIVE-obsolete
SAVK23,0,HDD- obsolete
SAVK33,1,F50 MAINTENANCE BOX
SAVK34,0,40/80GO HD WINNT_Advantech
SAVK35,0,40/80GO HD WINNT_Matrox
SAVK36,0,40/80GO HD WIN2000_Matrox
SAVK37,0,40/80GO HD WINNT_Aisycs
SAVK38,0,40/80GO HD WIN2000_Aisycs
SAVK39,0,40/80GO HD WINXP_Aisycs
SAVK40,1,STANDARD/ROTARY NFO CANOPY MOT
SAVK41,11,"BEARING, FINGER ANTI-SLIDE GDG"
SAVK42,4,"PIN, FINGER ANTI-SLIDE 5,3MM G"
SAVK43,0,"PIN, FINGER ANTI-SLIDE 4,8MM G"
SAVK44,2,"BEARING, FINGER GUINDING PIN"
SAVK45,3,5.0MM REAR ROLLER KIT
SAVK46,0,5.0MM FRONT ROLLER KIT
SAVK47,1,F21 Finger 8.9mm Front Guiding
SAVK48,2,F21 Finger 9.0mm Front Guiding
SAVK49,1,F21 Finger 9.1mm Front Guiding
SAVK50,2,F21 FINGER REAR GUIDING PIN KI
SAVK51,1,"PIN, FINGER4.8MM FRONT GUINDIN"
SAVK52,3,F05/A04 FINGER 4.9MM REAR GUI
SAVK53,1,"PIN, FINGER 5.1MM REAR GUIDING"
SAVK54,1,"PIN, FINGER 5.2MM FRONTGUIDING"
SAVK55,6,"PIN,FINGER 5.1MM FRONT-GUIDING"
